,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE
,Bojan Bogdanovic,WAS,28,81,23,58,25.7,103.3,110.2,-7,8.6,0.85,9.3,2,12.4,7.3,11,53,58.5,22.4,102.76,9.1
,Bradley Beal,WAS,24,77,48,29,34.9,112.1,106.5,5.6,15.4,1.71,14.1,2.2,7.8,5,8.2,56.6,60.4,26.3,100.11,11.9
,Brandon Jennings,WAS,27,81,37,44,22.2,105.1,108.1,-3,30.8,3.09,35.1,1.8,10,5.9,11.4,43.3,47.9,17.5,99.85,8.9
,Ian Mahinmi,WAS,30,31,19,12,17.9,104.3,104,0.3,5,0.56,9.6,9.8,20.4,15.2,17.3,58.6,60.1,14,98.9,8.2
,John Wall,WAS,26,78,48,30,36.4,111.2,107.3,3.9,45,2.58,29.5,2.3,10.5,6.4,11.4,48.2,54.1,30.2,101.07,15.3
,Kelly Oubre Jr.,WAS,21,79,47,32,20.3,106,105.6,0.4,4.2,0.94,8.1,4.4,13.8,9.2,8.6,48.2,51.6,14.7,99.53,5.5
,Marcin Gortat,WAS,33,82,49,33,31.2,110.2,107.4,2.8,6.5,1.02,12.3,10.4,26.9,18.6,12.1,57.9,59.3,14.7,99.85,10.9
,Marcus Thornton,WAS,30,33,15,18,17.4,102.1,114.8,-12.7,10.8,1.64,14.2,4.3,12,7.9,8.7,46.7,49.4,18.8,98.29,6.9
,Markieff Morris,WAS,27,76,45,31,31.2,109.4,105.5,3.9,7.6,0.98,10.2,5.1,18,11.7,10.4,49.7,54,20.4,100.12,8.9
,Otto Porter Jr.,WAS,24,80,48,32,32.6,110.3,107.2,3.1,6.6,2.75,11.9,5,17.2,11.1,4.3,60.8,62.8,14.9,100.48,10.9
,Alec Burks,UTA,25,42,26,16,15.5,105,104.9,0.1,7.4,0.86,8.6,2.9,18,10.3,10.1,45,50.1,21.9,95.94,8.7
,Boris Diaw,UTA,35,73,45,28,17.6,106,103.6,2.4,20.7,1.95,28.4,4.3,10.3,7.3,14.5,47.7,49.4,15.8,93.08,7.1
,Dante Exum,UTA,21,66,40,26,18.6,103.6,101.6,2,14.4,1.39,18.9,2.9,9.1,6.1,13.6,48.8,52.1,18.1,94.42,5.4
,Derrick Favors,UTA,25,50,33,17,23.7,105.1,102.3,2.8,7.9,0.93,9.6,9.2,20.5,15,10.3,49,51.2,20.8,92.72,10.8
,George Hill,UTA,31,49,33,16,31.5,109.7,101,8.6,22.7,2.4,20.8,1.7,10.5,6.2,8.7,55.4,59.9,23.6,92.9,12.8
,Gordon Hayward,UTA,27,73,46,27,34.5,109.5,102.4,7.1,17.9,1.8,14.5,2.3,15.2,9,8.1,53.6,59.5,27.6,93.44,15.8
,Joe Ingles,UTA,29,82,51,31,24.1,109.4,104.6,4.8,16.8,2.1,27.7,1.4,13.9,7.8,13.2,58.9,60.4,13.9,94.04,8.9
,Joe Johnson,UTA,36,78,47,31,23.6,108.4,104.3,4.2,12.5,2.09,16.5,2.2,12.9,7.7,7.9,52.1,54.2,18.6,93.26,9.5
,Rodney Hood,UTA,24,59,40,19,27,106.7,102.6,4.2,10.2,1.48,10.9,1.2,13,7.4,7.4,49.4,52.2,23.1,93.25,8.6
,Rudy Gobert,UTA,25,81,51,30,33.9,108.7,100.6,8.1,5.7,0.66,9,13.8,28.8,21.7,13.6,66.1,68.1,16.7,93.11,16.1
,Shelvin Mack,UTA,27,55,34,21,21.9,105.1,104.8,0.3,21,1.71,23.4,2,9.9,6,13.7,49.5,51.8,19.5,93.44,7.9
,Trey Lyles,UTA,21,71,43,28,16.3,103.9,103,0.9,9.8,1.08,11.4,4.7,17.8,11.3,10.5,43.6,46.4,21.4,94.43,7.6
,Cory Joseph,TOR,25,80,49,31,25,108.7,106.8,2,20,2.45,24.4,2.9,10.4,6.6,9.9,48.9,51.8,18.3,97.43,8.9
,DeMar DeRozan,TOR,27,74,47,27,35.4,110.2,107,3.3,20.4,1.61,12.6,3,13.4,8.3,7.8,47.7,55.2,34.2,97.69,15.5
,DeMarre Carroll,TOR,30,72,44,28,26.1,109.5,106.3,3.3,5.6,1.37,10.1,3.8,12.6,8.3,7.4,49.9,53,15.6,96.82,7.1
,Delon Wright,TOR,25,27,19,8,16.5,104.9,96.2,8.8,20.4,2.28,25.7,4.2,8.4,6.3,11.3,46.6,53.5,16.7,94.48,10.5
,Jonas Valanciunas,TOR,25,80,50,30,25.8,109.6,107.2,2.5,4.3,0.54,5.9,12.4,29.7,21,11,55.8,60.1,19.5,96.61,13.6
,Kyle Lowry,TOR,31,60,36,24,37.4,112.8,104.6,8.2,29.3,2.41,25,2.4,12.1,7.3,10.4,56.9,62.3,24.9,96.85,14.7
,Lucas Nogueira,TOR,24,57,34,23,19.1,112.6,102.8,9.8,5.3,0.91,15.4,8.4,15.8,12.2,16.8,67,68.2,9.5,97.57,8.5
,Norman Powell,TOR,24,76,47,29,18,109.1,105.4,3.7,9.4,1.17,11.3,2.2,12,7.2,9.6,50.4,55.2,21.2,97.93,8.7
,PJ Tucker,TOR,32,81,35,46,27.6,104.9,106.1,-1.2,6.3,1.5,14.4,5.6,18.1,11.7,9.6,48.5,51.6,11.3,100,7.9
,Pascal Siakam,TOR,23,55,35,20,15.6,106.5,106.4,0,2.8,0.52,6.3,8.3,16.8,12.4,12.3,50.5,52.3,13.1,96.94,6
